Complex,VINA,GlideSP,GlideXP,MMGbsa,HPS,HMS,HSS,XAvg,XEner,DSX,RFScore
10gs,-7.5601,-9.69,-9.61,-89.78691595,-8.496538993,-9.781381475,-8.123520208,-8.800480225,-8.69,-120.368,-9.44132495181
1a08,-5.6455,-8.64,-11.06,-84.85202742,-7.43274468,-8.234044293,-7.128803448,-7.598530807,-7.5,-111.606,-8.85643492068
1a1b,-5.4375,-8.76,-12.57,-81.76801362,-7.239327532,-8.192597761,-7.142618958,-7.529453254,-7.43,-113.197,-8.13966248088
1a30,-5.9125,-8.73,-10.66,-66.12503034,-7.584715296,-7.819578976,-7.474191212,-7.626161828,-7.53,-106.796,-8.51726143663
1a69,-8.8953,-8.55,-8.66,-75.70984915,-7.474191212,-7.778132444,-7.336036106,-7.529453254,-7.43,-94.364,-7.49255831912
1ai5,-5.5525,-8.41,-6.22,-40.54954053,-7.377482638,-7.626161828,-7.018279363,-7.336036106,-7.24,-53.877,-7.56250755104
1ajp,5.29522,-7.42,-3.81,-27.63984559,-6.9353863,-6.659076089,-6.493289962,-6.700522621,-6.61,20.972,-6.91732971974
1ajq,-4.6815,-8.05,-5.68,-45.26124804,-6.852493237,-6.92157079,-6.68670711,-6.811046705,-6.73,-52.733,-8.56501377149
1apw,-8.6432,-11.52,-13.25,-114.9505857,-8.607063078,-10.30637088,-9.256392074,-9.394547179,-9.27,-170.49,-10.3564770139
1avn,-1.32,-4.8,-2.4,-9.479927339,-5.277525033,-5.44331116,-5.125554417,-5.277525033,-5.21,0.353,-7.7789625754
1b39,-7.8907,-8.36,-13.83,-42.34745488,-8.358383888,-8.745218183,-8.137335719,-8.41364593,-8.31,-113.549,-7.55700019543
1b7h,-7.4008,-10.26,-13.11,-37.43377164,-9.546517796,-9.836643517,-9.463624732,-9.615595348,-9.49,-177.528,-9.84019116058
1b8o,-10.034,-11.41,-15.89,-95.5030054,-8.275490824,-8.855742268,-8.137335719,-8.41364593,-8.31,-102.623,-9.66743830755
1b9j,-7.8631,-10.3,-13.74,-20.61401091,-9.532702285,-10.09913822,-9.546517796,-9.726119433,-9.6,-182.84,-9.90064300801
1bcu,-7.0792,-5.65,-3.96,20.09136568,-7.308405085,-7.142618958,-7.66760836,-7.363667127,-7.27,-81.658,-7.06318944362
1bma,-5.0718,-6.95,-6.64,-66.79048721,-9.505071264,-10.26492434,-9.560333306,-9.781381475,-9.65,-159.268,-10.8029451375
1bra,-5.1518,-7.32,-5.26,-35.34870584,-6.783415684,-6.755784663,-7.073541406,-6.880124258,-6.79,-63.035,-6.42450102373
1bxo,-14.184,-16.78,-16.15,-156.8630516,-10.01624515,-11.66029091,-10.37544843,-10.69320517,-10.55,-188.715,-9.24459019165
1d09,-7.242,-7.93,-10.69,-47.34971653,-6.672891599,-6.976832832,-6.645260578,-6.769600173,-6.68,-94.382,-7.69319167016
1d7j,-3.0211,-3.26,-3.8,-32.74156738,-5.968300561,-5.816329945,-5.899223008,-5.899223008,-5.82,-29.545,-5.92410377189
1det,-6.2361,-8.85,-10.86,-47.84496797,-6.907755279,-7.280774064,-6.769600173,-6.990648342,-6.9,-70.28,-7.68774372534
1dhi,-9.1618,-10.89,-11.23,-94.70532194,-8.593247567,-8.993897373,-8.040627145,-8.551801035,-8.44,-112.074,-9.62721676784
1e1v,-5.4224,-8.36,-8.2,-45.74189607,-7.639977339,-7.584715296,-7.861025507,-7.695239381,-7.6,-101.743,-8.36718390728
1e5a,-2.3612,-2.41,-0.39,-24.22195904,-5.636728308,-7.294589575,-6.065009135,-6.327503836,-6.25,-16.911,-4.84572049631
1e66,-11.693,-8.13,-7.95,-54.9244132,-9.988614133,-9.767565964,-9.933352091,-9.89190556,-9.77,-111.754,-9.31105901295
1ela,-7.3863,-7.91,-8.4,-79.94331372,-8.689956141,-9.560333306,-8.565616546,-8.938635331,-8.83,-142.541,-9.19330875226
1f4e,-6.8124,-6.2,-4.48,-25.86865486,-7.515637744,-8.068258166,-7.349851617,-7.639977339,-7.55,-60.747,-7.47690902408
1f4f,-7.4786,-8.94,-7.69,-51.13710661,-8.068258166,-8.372199398,-7.446560191,-7.957734081,-7.86,-83.122,-8.35334015168
1f4g,-10.895,-10.62,-12.14,-103.8776726,-8.855742268,-9.049159415,-8.220228782,-8.703771652,-8.6,-124.238,-8.30364402835
1f5k,-5.8378,-8.17,-8.41,-44.11018178,-6.811046705,-6.92157079,-7.17024998,-6.963017321,-6.88,-73.805,-6.3076646966
1fcx,-15.262,-15.27,-15.22,-145.410836,-13.23525911,-13.82932607,-11.46687376,-12.83460931,-12.68,-173.486,-12.0593170437
1fcz,-14.406,-14.97,-16.27,-146.8584191,-12.9589489,-13.30433667,-11.39779621,-12.5582991,-12.4,-163.539,-11.4378516297
1fd0,-15.574,-15.57,-17.18,-142.2888697,-13.45630728,-14.18852934,-11.79844602,-13.15236605,-12.98,-172.476,-11.2441967455
1fh7,-7.2405,-7.71,-13.05,-76.69517251,-7.598530807,-8.082073676,-7.529453254,-7.736685912,-7.64,-98.779,-7.50447336765
1fh8,-7.3492,-8.42,-13.85,-62.82027674,-7.543268765,-8.054442655,-7.460375701,-7.68142387,-7.59,-101.832,-7.58386432675
1fh9,-7.915,-8.49,-15.47,-95.90750307,-7.93010306,-8.468907972,-7.861025507,-8.082073676,-7.98,-101.978,-6.85648506898
1fkb,-12.156,-12.36,-16.16,-128.9686129,-10.23729332,-13.24907463,-10.15440026,-11.21819457,-11.07,-166.16,-8.17797108348
1fki,-11.324,-8.43,-8.45,-91.22536033,-9.228761053,-10.62412762,-9.090605947,-9.643226369,-9.53,-112.088,-8.81725876246
1fkn,-8.1977,-16.85,-18.19,-154.9352598,-10.34781741,-11.86752357,-10.94188436,-11.05240845,-10.91,-232.605,-10.9063429228
1flr,-13.195,-9.68,-10.59,-50.86831935,-10.19584679,-11.02477743,-9.739934943,-10.32018639,-10.19,-125.858,-9.44928368329
1ftm,-8.3172,-7.13,-7.6,-83.42849826,-7.764316934,-8.123520208,-7.736685912,-7.874841018,-7.77,-88.295,-8.55442071959
1fzj,-11.03,-19.24,-24.57,-234.1046798,-11.83989255,-12.98657992,-11.17674804,-12.00567867,-11.85,-236.152,-7.67943165619
1fzk,-10.86,-16.01,-19.51,-181.2788734,-11.97804765,-12.79316278,-12.11620276,-12.2958044,-12.14,-225.062,-7.93377841273
1g7f,-8.1294,-6.7,-5.65,13.38981096,-8.565616546,-8.92481982,-8.386014909,-8.634694099,-8.52,-138.711,-8.18965715847
1g7q,-8.9694,-10.74,-12.54,-63.32824306,-9.574148817,-10.12676924,-9.89190556,-9.864274538,-9.74,-165.45,-7.99698504437
1gni,-6.2695,-4.48,-9.27,-96.13118856,-8.897188799,-8.607063078,-7.888656529,-8.455092461,-8.35,-108.686,-8.99750925537
1gpk,-11.02,-10.02,-8.83,-43.97143533,-8.551801035,-8.468907972,-8.869557778,-8.634694099,-8.52,-106.456,-8.92080106511
1h23,-9.6691,-14.19,-17.12,-68.69412151,-10.92806885,-11.121486,-9.864274538,-10.63794313,-10.5,-175.22,-10.0208774558
1ha2,-8.4677,-7.9,-8.47,-65.41440874,-9.076790437,-10.05769169,-8.67614063,-9.270207584,-9.15,-94.103,-10.458642621
1hfs,-11.064,-16.22,-14,-104.1610384,-12.39251297,-13.93985015,-12.00567867,-12.77934727,-12.62,-290.002,-10.8615242189
1hi4,-5.4098,-8.39,-8.35,-54.83442212,-7.336036106,-7.653792849,-7.156434469,-7.377482638,-7.29,-66.501,-7.80220934841
1hk4,-4.641,-5.21,-5.74,-63.53865472,-7.68142387,-9.643226369,-8.579432056,-8.634694099,-8.53,-53.56,-7.15228076999
1if7,-4.9334,-6.55,-6.2,-64.36495716,-7.612346317,-8.993897373,-7.501822233,-8.040627145,-7.94,-88.989,-9.74630691999
1is0,-6.4414,-9.36,-10.8,-72.01753094,-8.054442655,-8.330752866,-8.054442655,-8.151151229,-8.04,-121.009,-8.34325015801
1j16,-6.0352,-7.96,-7.04,-45.11828238,-6.976832832,-6.949201811,-7.239327532,-7.059725895,-6.97,-74.015,-6.29964347696
1j17,-10.219,-8.2,-7.46,-53.82391764,-9.698488412,-9.726119433,-9.670857391,-9.698488412,-9.58,-166.272,-8.55497208978
1jaq,-6.2213,-8.24,-9.81,-60.5205272,-7.266958553,-8.16496674,-7.239327532,-7.557084275,-7.46,-101.586,-7.63849840154
1jq9,-2.029,-6.97,-5.45,-23.35729663,-9.187314521,-9.90572107,-8.828111247,-9.311654116,-9.19,-108.891,-8.95300739587
1jqd,-7.8543,-10.61,-13.22,-91.06949776,-8.109704698,-8.386014909,-7.971549592,-8.16496674,-8.06,-153.274,-8.48337738133
